tenant_id,tenant_slug,company_name,project_scope,environment,chatwoot_url,chatwoot_account_id,channel_group,channel_type,provider,provider_account_id,provider_asset_id,inbox_name,phone_or_account,owner,department,routing_team,assigned_agents,chatwoot_inbox_id,chatwoot_channel_id,inbox_identifier,callback_webhook_url,lock_to_single_conversation,waha_api_url,waha_session_name,waha_app_id,waha_engine,waha_status,official_meta_app_id,official_meta_waba_id,official_meta_phone_number_id,meta_page_id,instagram_business_account_id,credential_ref,status,last_verified_at,notes
tenant_paddock,paddock,Paddock,Paddock POC,production,https://chat.fleexa-group.com,,official,whatsapp_cloud,meta,,,Official - WA Cloud - +971XXXX - Brand/Department,+971XXXX,Brand,Department,,,,,,,false,,,,,,,"","","",,meta_whatsapp_cloud_paddock,planned,,"Standard Chatwoot + Meta WhatsApp Cloud inbox"
tenant_paddock,paddock,Paddock,Paddock POC,production,https://chat.fleexa-group.com,2,official,instagram,meta,,17841403273948675,paddockrentacar,paddockrentacar,Unknown,Paddock,sales,,7,1,,,false,,,,,,,,,,17841403273948675,meta_instagram_paddock,linked_human_agent_enabled,2026-06-22,"Instagram inbox connected; Human Agent enabled in Chatwoot installation config for 7-day manual replies; Meta permission still determines delivery"
tenant_paddock,paddock,Paddock,Paddock POC,production,https://chat.fleexa-group.com,,official,facebook_messenger,meta,,,Facebook - BrandName,BrandName,Brand,Department,,,,,,,false,,,,,,,"","","",,meta_facebook_paddock,planned,,"Standard Chatwoot Messenger inbox"
tenant_paddock,paddock,Paddock,Paddock POC,production,https://chat.fleexa-group.com,2,waha,whatsapp_personal,waha,,,WAHA - Personal - POC - Paddock,+971545265555,Unknown,Paddock,sales,Elena;Sofia,4,1,96PH4XJqEApi6PfAMbkx5ANF,https://waha.fleexa-group.com/webhooks/chatwoot/default/chatwoot_paddock_poc_default,true,https://waha.fleexa-group.com,default,chatwoot_paddock_poc_default,GOWS,WORKING,,,,,,waha_paddock_poc,linked_working,2026-06-22,"WAHA Core POC linked via default session; updated to WAHA 2026.6.1 for media support; scale one personal number per WAHA session/API inbox"
